file,class,type,cbo,wmc,dit,rfc,lcom,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,visibleFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
D:\UNIVERSIDAD\TFG\Repositorio\TFG\TFG\src\main\java\callgraph\AbstractExporter.java,callgraph.AbstractExporter,class,0,0,1,0,0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0
D:\UNIVERSIDAD\TFG\Repositorio\TFG\TFG\src\main\java\callgraph\CalledFromList.java,callgraph.CalledFromList,class,1,7,1,4,0,0.5,0.5,5,1,4,1,0,0,4,0,0,0,2,1,0,2,0,0,0,0,0,27,2,0,1,0,0,0,0,4,0,3,1,0,0,0,14,1,0
D:\UNIVERSIDAD\TFG\Repositorio\TFG\TFG\src\main\java\callgraph\ClassVisitor.java,callgraph.ClassVisitor,class,12,18,2,18,25,0.22222222,0.2888889,10,0,10,0,0,0,10,0,0,0,6,0,0,6,0,0,1,0,1,65,6,3,2,0,0,2,3,15,1,14,2,0,0,0,41,1,0
D:\UNIVERSIDAD\TFG\Repositorio\TFG\TFG\src\main\java\callgraph\DynamicCallManager.java,callgraph.DynamicCallManager,class,11,16,1,27,4,1.0,1.0,5,0,3,2,0,0,3,0,0,0,3,2,0,3,0,0,3,0,2,55,5,3,0,0,2,8,2,22,0,20,2,0,0,0,143,1,0
D:\UNIVERSIDAD\TFG\Repositorio\TFG\TFG\src\main\java\callgraph\Instrumenter.java,callgraph.Instrumenter,class,5,27,1,28,8,1.0,1.0,5,2,2,3,0,0,2,0,0,0,2,2,0,0,0,2,0,0,13,110,7,5,2,2,0,29,6,23,13,17,4,0,0,0,60,1,0
D:\UNIVERSIDAD\TFG\Repositorio\TFG\TFG\src\main\java\callgraph\JavaFile.java,callgraph.JavaFile,class,2,54,1,24,50,0.6,1.0,13,0,6,7,0,0,6,0,0,0,9,0,0,9,0,0,0,0,1,182,23,4,8,0,3,33,25,42,9,25,5,0,0,0,85,1,0
D:\UNIVERSIDAD\TFG\Repositorio\TFG\TFG\src\main\java\callgraph\JCallGraph.java,callgraph.JCallGraph$Anonymous1,anonymous,1,2,1,2,1,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,-1,0
D:\UNIVERSIDAD\TFG\Repositorio\TFG\TFG\src\main\java\callgraph\JCallGraph.java,callgraph.JCallGraph,class,9,71,1,85,53,0.23076923,0.5769231,14,14,13,1,0,0,13,0,0,0,9,9,0,9,0,0,0,0,25,297,16,15,11,6,0,47,26,64,16,47,7,1,0,2,124,1,0
D:\UNIVERSIDAD\TFG\Repositorio\TFG\TFG\src\main\java\callgraph\MethodReport.java,callgraph.MethodReport,class,1,20,1,3,81,0.23529412,0.6928105,18,0,18,0,0,0,18,0,0,0,7,0,0,7,0,0,0,0,1,74,11,0,1,0,1,0,0,14,1,8,1,0,0,0,30,1,0
D:\UNIVERSIDAD\TFG\Repositorio\TFG\TFG\src\main\java\callgraph\MethodVisitor.java,callgraph.MethodVisitor,class,18,51,2,35,6,0.8214286,1.0,12,0,8,4,0,0,8,0,0,0,7,1,0,6,0,1,0,0,19,186,9,3,14,0,5,7,45,58,16,40,4,0,0,0,85,1,0
D:\UNIVERSIDAD\TFG\Repositorio\TFG\TFG\src\main\java\callgraph\Metric.java,callgraph.Metric,class,0,9,1,0,12,0.33333334,1.0,9,0,9,0,0,0,9,0,0,0,4,0,0,4,0,0,0,0,0,36,4,0,0,0,0,0,0,8,0,4,0,0,0,0,16,1,0
D:\UNIVERSIDAD\TFG\Repositorio\TFG\TFG\src\test\java\callgraph\JCallGraphTest.java,callgraph.JCallGraphTest,class,2,9,1,1,36,0.0,0.0,9,0,0,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,9,64,0,0,0,0,0,26,35,35,0,9,0,0,0,0,15,1,0
